Amount (INR),Payment Mode,To/Received By,Sender A/C,Receiver A/C,Sender Location,Receiver Location,Transaction Date,Transaction Time,isFraud
299.74,Cash Deposit,Ola,ACC123456,ACC193208,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",12/2/2024,14:05,0
650.78,UPI,Airtel,ACC123456,ACC415858,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",10/30/2023,11:22,0
1718.97,UPI,Big Bazaar,ACC123456,ACC376065,"Kolkata, West Bengal, 700001","
",7/7/2023,14:51,0
265.26,UPI,Medical Store,ACC123456,ACC266515,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",4/29/2023,10:26,0
430.12,UPI,Swiggy,ACC123456,ACC365865,"Kolkata, West Bengal, 700001","
",2/11/2024,6:13,0
1981.3,Card,Amazon India,ACC123456,ACC540821,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",7/7/2023,16:21,0
275.06,NEFT,Reliance Fresh,ACC123456,ACC242081,"Kolkata, West Bengal, 700001","
",4/8/2024,10:55,0
270.6,IMPS,HDFC Bank,ACC123456,ACC422694,"Kolkata, West Bengal, 700001","
",1/30/2025,19:13,0
59.55,IMPS,Amazon India,ACC123456,ACC758889,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",9/7/2023,1:53,0
409.34,Wallet,Electricity Board,ACC123456,ACC145798,"Kolkata, West Bengal, 700001","
",3/5/2024,2:39,0
5077.28,IMPS,Zomato,ACC123456,ACC150182,"Ahmedabad, Gujarat, 380001","Bengaluru, Karnataka, 560001",5/2/2023,20:42,0
17661.78,Cash Deposit,IRCTC,ACC123456,ACC624473,"Chennai, Tamil Nadu, 600001","
",3/29/2025,15:53,0
1239.15,NEFT,LIC Insurance,ACC123456,ACC638409,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",9/26/2023,14:56,0
3845.22,UPI,LIC Insurance,ACC123456,ACC901830,"Kolkata, West Bengal, 700001","
",3/30/2025,19:31,0
70.43,Card,Airtel,ACC123456,ACC841996,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",3/28/2025,6:46,0
1566.95,Wallet,SBI,ACC123456,ACC462845,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",8/4/2023,21:35,0
434.76,IMPS,SBI,ACC123456,ACC417785,"Kolkata, West Bengal, 700001","
",7/14/2023,19:15,0
352.27,Card,Medical Store,ACC123456,ACC457596,"Kolkata, West Bengal, 700001","
",11/15/2023,12:12,0
21.04,IMPS,Electricity Board,ACC123456,ACC478404,"Kolkata, West Bengal, 700001","
",2/10/2025,20:05,0
915.51,IMPS,Paytm Wallet,ACC123456,ACC907935,"Kolkata, West Bengal, 700001","
",11/14/2024,2:06,0
173.21,Wallet,Ola,ACC123456,ACC558055,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",3/12/2024,23:20,0
523.55,Cash Deposit,Flipkart,ACC123456,ACC647447,"Kolkata, West Bengal, 700001","
",4/17/2024,19:31,0
1258.27,UPI,Airtel,ACC123456,ACC166541,"Jaipur, Rajasthan, 302001","Delhi, Delhi, 110001",12/1/2023,23:46,0
921.6,Wallet,IRCTC,ACC123456,ACC734535,"Lucknow, Uttar Pradesh, 226001","Lucknow, Uttar Pradesh, 226001",2/24/2024,20:54,0
227.09,IMPS,Local Kirana,ACC123456,ACC685973,"Kolkata, West Bengal, 700001","
",3/22/2025,22:31,0
4174.33,Wallet,Flipkart,ACC123456,ACC544431,"Kolkata, West Bengal, 700001","
",3/1/2025,19:11,0
553.38,IMPS,Medical Store,ACC123456,ACC494486,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",12/18/2024,15:26,0
1015.19,Cash Deposit,Medical Store,ACC123456,ACC562748,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",5/13/2024,13:32,0
96.96,Cash Deposit,HDFC Bank,ACC123456,ACC743781,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",9/17/2023,9:16,0
1544.64,Card,IRCTC,ACC123456,ACC727212,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",7/16/2024,19:24,0
2913.99,NEFT,School Fees,ACC123456,ACC151804,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",3/26/2025,21:28,0
222.07,Wallet,Paytm Wallet,ACC123456,ACC344504,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",8/16/2023,16:20,0
106.33,NEFT,Local Kirana,ACC123456,ACC367961,"Kolkata, West Bengal, 700001","
",7/20/2023,13:55,0
1801.08,IMPS,Big Bazaar,ACC123456,ACC545951,"Kolkata, West Bengal, 700001","
",3/29/2025,12:29,0
555.51,Cash Deposit,LIC Insurance,ACC123456,ACC358069,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",7/3/2023,5:38,0
2349.55,Cash Deposit,Swiggy,ACC123456,ACC726421,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",6/2/2023,3:46,0
2212.3,Card,Ola,ACC123456,ACC412290,"Kolkata, West Bengal, 700001","
",3/25/2025,9:04,0
2249.3,NEFT,Jio,ACC123456,ACC243155,"Kolkata, West Bengal, 700001","
",9/25/2024,14:31,0
281.88,UPI,Medical Store,ACC123456,ACC956302,"Lucknow, Uttar Pradesh, 226001","
",9/11/2024,7:10,0
281.97,NEFT,School Fees,ACC123456,ACC103270,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",7/5/2023,19:03,0
637.01,UPI,HDFC Bank,ACC123456,ACC918931,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",6/4/2023,19:52,0
2650.04,Wallet,SBI,ACC123456,ACC876989,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",4/25/2023,16:01,0
1292.35,Wallet,School Fees,ACC123456,ACC670943,"Kolkata, West Bengal, 700001","
",9/5/2024,20:25,0
1468.53,UPI,Electricity Board,ACC123456,ACC513629,"Pune, Maharashtra, 411001","
",8/7/2023,10:22,0
304.44,Card,Medical Store,ACC123456,ACC429058,"Kolkata, West Bengal, 700001","
",12/21/2024,11:40,0
652.4,Wallet,Airtel,ACC123456,ACC761011,"Kolkata, West Bengal, 700001","
",1/12/2025,14:37,0
566.23,UPI,IRCTC,ACC123456,ACC641321,"Kolkata, West Bengal, 700001","
",11/1/2024,12:54,0
1388.98,Card,Paytm Wallet,ACC123456,ACC646970,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",8/14/2023,19:48,0
889.69,Wallet,HDFC Bank,ACC123456,ACC915811,"Lucknow, Uttar Pradesh, 226001","Bengaluru, Karnataka, 560001",7/9/2024,9:07,0
6814.08,NEFT,Airtel,ACC123456,ACC523423,"Kolkata, West Bengal, 700001","
",1/5/2024,18:31,0
207.17,Card,Flipkart,ACC123456,ACC806200,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",2/8/2024,20:22,0
2897.47,Card,Rent Transfer,ACC123456,ACC862470,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",12/15/2024,13:25,0
1655.23,UPI,Ola,ACC123456,ACC378382,"Kolkata, West Bengal, 700001","
",1/16/2024,3:38,0
379.14,UPI,SBI,ACC123456,ACC448230,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",2/8/2025,0:45,0
546.28,IMPS,School Fees,ACC123456,ACC554295,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",3/19/2024,21:11,0
379.2,Card,PhonePe,ACC123456,ACC330561,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",12/3/2024,19:59,0
1176.7,Wallet,Big Bazaar,ACC123456,ACC500839,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",2/24/2025,3:29,0
905.04,Cash Deposit,SBI,ACC123456,ACC388656,"Kolkata, West Bengal, 700001","
",11/6/2024,6:42,0
2185.84,Cash Deposit,Amazon India,ACC123456,ACC526596,"Ahmedabad, Gujarat, 380001","
",10/16/2023,1:52,0
310.71,Wallet,Airtel,ACC123456,ACC115199,"Bengaluru, Karnataka, 560001","Lucknow, Uttar Pradesh, 226001",9/25/2024,1:26,0
72.35,Wallet,Reliance Fresh,ACC123456,ACC510133,"Kolkata, West Bengal, 700001","
",8/4/2023,22:58,0
601.6,Cash Deposit,SBI,ACC123456,ACC961027,"Mumbai, Maharashtra, 400001","
",12/31/2023,17:58,0
2787.47,Cash Deposit,SBI,ACC123456,ACC403735,"Kolkata, West Bengal, 700001","
",11/3/2024,13:59,0
157.43,Cash Deposit,Zomato,ACC123456,ACC228140,"Kolkata, West Bengal, 700001","
",2/7/2024,11:23,0
4017.56,Cash Deposit,Medical Store,ACC123456,ACC798417,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",3/21/2024,15:09,0
8348.8,NEFT,LIC Insurance,ACC123456,ACC652900,"Ahmedabad, Gujarat, 380001","
",12/25/2023,0:18,0
343.88,Cash Deposit,Zomato,ACC123456,ACC580225,"Jaipur, Rajasthan, 302001","Ahmedabad, Gujarat, 380001",1/28/2025,6:04,0
1517.13,NEFT,Local Kirana,ACC123456,ACC570613,"Kolkata, West Bengal, 700001","
",3/28/2025,11:25,0
43.16,Wallet,LIC Insurance,ACC123456,ACC927079,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",2/15/2024,8:06,0
2705.26,Cash Deposit,Paytm Wallet,ACC123456,ACC808175,"Kolkata, West Bengal, 700001","
",4/14/2023,16:44,0
926.28,IMPS,Big Bazaar,ACC123456,ACC511896,"Lucknow, Uttar Pradesh, 226001","Delhi, Delhi, 110001",5/22/2023,0:34,0
2174.27,NEFT,SBI,ACC123456,ACC801999,"Kolkata, West Bengal, 700001","
",7/6/2024,9:32,0
203.7,NEFT,Rent Transfer,ACC123456,ACC104282,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",3/25/2025,4:13,0
844.35,Wallet,Zomato,ACC123456,ACC161799,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",3/6/2024,1:57,0
444.93,IMPS,Electricity Board,ACC123456,ACC260672,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",1/10/2024,5:27,0
375.39,IMPS,Big Bazaar,ACC123456,ACC388267,"Ahmedabad, Gujarat, 380001","
",8/25/2024,10:47,0
19778.28,NEFT,Medical Store,ACC123456,ACC518920,"Kolkata, West Bengal, 700001","
",12/7/2023,21:02,0
892.1,Wallet,HDFC Bank,ACC123456,ACC396478,"Kolkata, West Bengal, 700001","
",11/28/2024,13:41,0
366.09,Wallet,Local Kirana,ACC123456,ACC153782,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",7/27/2024,14:55,0
200.58,Wallet,Airtel,ACC123456,ACC176671,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",12/3/2023,4:54,0
555.94,IMPS,Flipkart,ACC123456,ACC514544,"Kolkata, West Bengal, 700001","
",2/17/2025,20:11,0
1894.11,NEFT,PhonePe,ACC123456,ACC849943,"Jaipur, Rajasthan, 302001","Mumbai, Maharashtra, 400001",2/14/2024,7:47,0
2156.88,Cash Deposit,Flipkart,ACC123456,ACC635442,"Kolkata, West Bengal, 700001","
",7/28/2024,7:51,0
1698.55,IMPS,Medical Store,ACC123456,ACC431686,"Bengaluru, Karnataka, 560001","Pune, Maharashtra, 411001",9/19/2024,18:15,0
1405.97,IMPS,Rent Transfer,ACC123456,ACC401791,"Kolkata, West Bengal, 700001","
",5/2/2023,12:35,0
146.52,IMPS,Amazon India,ACC123456,ACC707568,"Kolkata, West Bengal, 700001","
",5/14/2023,14:37,0
806.32,IMPS,Flipkart,ACC123456,ACC244747,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",12/10/2023,6:38,0
8926.01,NEFT,Medical Store,ACC123456,ACC361892,"Kolkata, West Bengal, 700001","
",3/10/2025,20:45,0
419.69,NEFT,Amazon India,ACC123456,ACC128605,"Kolkata, West Bengal, 700001","
",4/29/2023,17:30,0
267.6,Card,Medical Store,ACC123456,ACC269960,"Kolkata, West Bengal, 700001","
",10/8/2024,14:01,0
115.46,NEFT,SBI,ACC123456,ACC788730,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",3/28/2025,1:58,0
4862.23,UPI,HDFC Bank,ACC123456,ACC978224,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",8/6/2023,16:38,0
511.8,Unknown,Big Bazaar,ACC123456,ACC810897,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",12/17/2024,1:04,0
2701.2,UPI,Swiggy,ACC123456,ACC396261,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",9/4/2023,13:48,0
553.23,Cash Deposit,Ola,ACC123456,ACC856369,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",3/18/2024,4:54,0
2075.4,Unknown,HDFC Bank,ACC123456,ACC906836,"Kolkata, West Bengal, 700001","
",2/10/2025,0:41,0
915.09,IMPS,Medical Store,ACC123456,ACC321488,"Bengaluru, Karnataka, 560001","Kolkata, West Bengal, 700001",2/22/2025,13:19,0
2907.09,Cash Deposit,Electricity Board,ACC123456,ACC860630,"Kolkata, West Bengal, 700001","
",9/22/2023,18:42,0
86.35,NEFT,LIC Insurance,ACC123456,ACC156823,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",12/11/2023,11:07,0
257.14,Card,Electricity Board,ACC123456,ACC711384,"Kolkata, West Bengal, 700001","
",7/11/2024,3:55,0
610.99,IMPS,Flipkart,ACC123456,ACC402752,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",10/28/2024,4:12,0
1131.93,Wallet,Reliance Fresh,ACC123456,ACC423247,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",4/27/2024,15:44,0
353.75,Wallet,Medical Store,ACC123456,ACC677298,"Kolkata, West Bengal, 700001","
",9/2/2023,16:02,0
1427.74,Cash Deposit,PhonePe,ACC123456,ACC280640,"Lucknow, Uttar Pradesh, 226001","Kolkata, West Bengal, 700001",6/30/2023,11:07,0
1032.47,Card,IRCTC,ACC123456,ACC435735,"Kolkata, West Bengal, 700001","
",8/14/2023,16:44,0
3584.25,Cash Deposit,Reliance Fresh,ACC123456,ACC662179,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",1/7/2025,4:14,0
963.34,Cash Deposit,Paytm Wallet,ACC123456,ACC911984,"Pune, Maharashtra, 411001","Lucknow, Uttar Pradesh, 226001",7/21/2023,19:03,0
4104.48,Wallet,Local Kirana,ACC123456,ACC340486,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",11/1/2023,5:22,0
1868.0,Card,Amazon India,ACC123456,ACC192704,"Kolkata, West Bengal, 700001","
",9/30/2023,15:06,0
827.05,IMPS,Airtel,ACC123456,ACC382120,"Delhi, Delhi, 110001","Bengaluru, Karnataka, 560001",4/17/2023,13:16,0
2024.6,IMPS,LIC Insurance,ACC123456,ACC139147,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",2/27/2025,22:22,0
981.84,UPI,Rent Transfer,ACC123456,ACC453641,"Kolkata, West Bengal, 700001","
",10/18/2024,7:44,0
545.78,NEFT,Flipkart,ACC123456,ACC118599,"Kolkata, West Bengal, 700001","
",12/14/2024,21:34,0
144.63,Wallet,Reliance Fresh,ACC123456,ACC993674,"Lucknow, Uttar Pradesh, 226001","
",1/5/2025,13:01,0
7413.49,Card,PhonePe,ACC123456,ACC920802,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",9/14/2024,13:46,0
71.7,Cash Deposit,SBI,ACC123456,ACC228529,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",2/13/2025,10:28,0
646.49,Wallet,Amazon India,ACC123456,ACC349181,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",7/16/2024,22:03,0
241.88,IMPS,Ola,ACC123456,ACC519506,"Delhi, Delhi, 110001","Mumbai, Maharashtra, 400001",7/28/2023,23:37,0
139.53,Wallet,Swiggy,ACC123456,ACC679512,"Kolkata, West Bengal, 700001","
",7/22/2024,8:19,0
1990.55,Card,PhonePe,ACC123456,ACC242139,"Mumbai, Maharashtra, 400001","Hyderabad, Telangana, 500001",12/23/2023,14:36,0
603.68,NEFT,PhonePe,ACC123456,ACC938855,"Kolkata, West Bengal, 700001","
",3/30/2025,0:26,0
222.87,UPI,School Fees,ACC123456,ACC980970,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",8/17/2023,14:13,0
1023.83,Wallet,IRCTC,ACC123456,ACC506253,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",12/16/2023,9:44,0
397.63,IMPS,SBI,ACC123456,ACC496407,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",2/8/2025,22:03,0
934.81,Card,Rent Transfer,ACC123456,ACC657935,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",6/14/2024,12:19,0
76626.05,Cash Deposit,LIC Insurance,ACC123456,ACC867692,"Kolkata, West Bengal, 700001","
",9/23/2024,3:04,1
464.63,NEFT,Local Kirana,ACC123456,ACC292215,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",4/27/2023,2:54,0
2366.72,NEFT,Electricity Board,ACC123456,ACC586978,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",5/20/2023,18:27,0
1116.31,IMPS,SBI,ACC123456,ACC439790,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",9/9/2023,4:35,0
348.99,Cash Deposit,Airtel,ACC123456,ACC431591,"Kolkata, West Bengal, 700001","
",8/20/2023,2:11,0
340.77,IMPS,Flipkart,ACC123456,ACC553422,"Kolkata, West Bengal, 700001","
",7/24/2023,19:35,0
3278.61,Wallet,LIC Insurance,ACC123456,ACC449460,"Kolkata, West Bengal, 700001","
",9/15/2024,0:07,0
28744.62,UPI,Airtel,ACC123456,ACC630080,"Kolkata, West Bengal, 700001","
",10/30/2023,14:59,0
2284.16,IMPS,Reliance Fresh,ACC123456,ACC658110,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",3/8/2024,0:33,0
590.36,UPI,PhonePe,ACC123456,ACC494186,"Kolkata, West Bengal, 700001","
",5/23/2024,7:43,0
477.99,NEFT,Paytm Wallet,ACC123456,ACC713619,"Kolkata, West Bengal, 700001","
",2/26/2025,15:51,0
1390.72,Card,Electricity Board,ACC123456,ACC411162,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",6/12/2023,19:15,0
4437.98,IMPS,LIC Insurance,ACC123456,ACC238941,"Kolkata, West Bengal, 700001","
",10/26/2024,22:44,0
56.71,NEFT,Paytm Wallet,ACC123456,ACC343033,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",5/1/2024,7:13,0
749.84,NEFT,Swiggy,ACC123456,ACC445149,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",8/3/2023,14:04,0
917.42,NEFT,HDFC Bank,ACC123456,ACC639649,"Kolkata, West Bengal, 700001","
",12/30/2024,22:05,0
288.75,Card,Medical Store,ACC123456,ACC514690,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",9/19/2024,6:35,0
2529.25,Cash Deposit,Flipkart,ACC123456,ACC984251,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",12/26/2023,21:07,0
983.69,NEFT,Jio,ACC123456,ACC148554,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",4/10/2025,2:02,0
174.24,NEFT,Flipkart,ACC123456,ACC323081,"Kolkata, West Bengal, 700001","
",4/23/2023,20:49,0
1231.82,IMPS,SBI,ACC123456,ACC364494,"Kolkata, West Bengal, 700001","
",1/15/2024,22:42,0
302.96,Cash Deposit,IRCTC,ACC123456,ACC453684,"Kolkata, West Bengal, 700001","
",6/2/2024,10:33,0
1261.58,IMPS,Ola,ACC123456,ACC648585,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",6/9/2023,3:40,0
904.25,UPI,LIC Insurance,ACC123456,ACC864654,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",2/4/2025,13:29,0
3417.07,Wallet,HDFC Bank,ACC123456,ACC148658,"Kolkata, West Bengal, 700001","
",7/15/2024,7:10,0
2231.56,Card,Rent Transfer,ACC123456,ACC266515,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",5/24/2024,11:46,0
1113.7,UPI,Reliance Fresh,ACC123456,ACC415837,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",7/18/2024,15:07,0
761.89,Card,SBI,ACC123456,ACC735119,"Delhi, Delhi, 110001","
",1/7/2024,16:43,0
1752.11,Cash Deposit,School Fees,ACC123456,ACC849552,"Kolkata, West Bengal, 700001","
",11/13/2024,13:57,0
9552.53,Cash Deposit,Swiggy,ACC123456,ACC800626,"Delhi, Delhi, 110001","Ahmedabad, Gujarat, 380001",5/29/2023,16:18,0
607.08,Cash Deposit,HDFC Bank,ACC123456,ACC846194,"Bengaluru, Karnataka, 560001","
",11/28/2024,15:01,0
416.12,Card,IRCTC,ACC123456,ACC116219,"Mumbai, Maharashtra, 400001","Delhi, Delhi, 110001",4/29/2023,21:02,0
12903.3,Unknown,PhonePe,ACC123456,ACC273141,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",2/9/2025,3:46,1
337.17,UPI,LIC Insurance,ACC123456,ACC261685,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",1/31/2024,21:18,0
8442.8,Unknown,Jio,ACC123456,ACC648221,"Hyderabad, Telangana, 500001","Delhi, Delhi, 110001",5/11/2024,23:27,0
869.35,IMPS,Electricity Board,ACC123456,ACC581640,"Kolkata, West Bengal, 700001","
",6/17/2023,16:23,0
573.82,Card,Zomato,ACC123456,ACC617533,"Kolkata, West Bengal, 700001","
",8/6/2023,0:41,0
874.38,Cash Deposit,Swiggy,ACC123456,ACC144090,"Kolkata, West Bengal, 700001","
",6/29/2023,16:21,0
4739.27,UPI,Reliance Fresh,ACC123456,ACC556919,"Kolkata, West Bengal, 700001","
",1/15/2025,11:09,0
422.02,Cash Deposit,Medical Store,ACC123456,ACC121003,"Kolkata, West Bengal, 700001","
",4/20/2023,1:57,0
2033.63,Cash Deposit,Medical Store,ACC123456,ACC607765,"Mumbai, Maharashtra, 400001","Mumbai, Maharashtra, 400001",1/5/2025,8:52,0
4049.95,NEFT,Zomato,ACC123456,ACC829956,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",4/15/2024,19:39,0
900.35,Card,Local Kirana,ACC123456,ACC276516,"Kolkata, West Bengal, 700001","
",2/6/2025,4:40,0
540.39,Cash Deposit,Amazon India,ACC123456,ACC487146,"Delhi, Delhi, 110001","Ahmedabad, Gujarat, 380001",3/2/2025,17:27,0
1748.35,Cash Deposit,Big Bazaar,ACC123456,ACC993337,"Kolkata, West Bengal, 700001","
",10/9/2023,21:01,0
168.63,UPI,Paytm Wallet,ACC123456,ACC241289,"Kolkata, West Bengal, 700001","
",8/31/2024,18:11,0
759.25,IMPS,Medical Store,ACC123456,ACC662937,"Kolkata, West Bengal, 700001","
",11/4/2023,22:32,0
3228.33,UPI,IRCTC,ACC123456,ACC263841,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",9/5/2023,7:45,0
225.14,Card,Rent Transfer,ACC123456,ACC360187,"Kolkata, West Bengal, 700001","
",10/20/2024,3:05,0
704.04,Cash Deposit,Airtel,ACC123456,ACC306668,"Kolkata, West Bengal, 700001","
",5/13/2024,9:06,0
22302.9,Unknown,Amazon India,ACC123456,ACC708481,"Delhi, Delhi, 110001","Delhi, Delhi, 110001",3/1/2024,10:56,0
1517.27,UPI,Zomato,ACC123456,ACC492038,"Hyderabad, Telangana, 500001","Chennai, Tamil Nadu, 600001",10/7/2023,1:39,0
727.63,Wallet,Paytm Wallet,ACC123456,ACC851088,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",9/5/2024,19:37,0
3354.56,Wallet,PhonePe,ACC123456,ACC721652,"Kolkata, West Bengal, 700001","
",10/30/2023,10:19,0
178.37,IMPS,PhonePe,ACC123456,ACC958382,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",11/19/2023,14:26,0
335.84,NEFT,Zomato,ACC123456,ACC226169,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",7/27/2024,1:56,0
915.63,Wallet,Flipkart,ACC123456,ACC801004,"Kolkata, West Bengal, 700001","
",4/12/2025,1:20,0
184599.0,Unknown,LIC Insurance,ACC123456,ACC795827,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",4/1/2025,3:34,1
1223.11,Wallet,Zomato,ACC123456,ACC491283,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",10/27/2024,21:50,0
19.16,Wallet,Medical Store,ACC123456,ACC953730,"Kolkata, West Bengal, 700001","
",11/12/2024,3:44,0
16.83,IMPS,LIC Insurance,ACC123456,ACC292765,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",3/26/2024,13:12,0
13258.4,IMPS,Electricity Board,ACC123456,ACC901552,"Kolkata, West Bengal, 700001","
",8/12/2023,2:34,1
649.72,Wallet,Amazon India,ACC123456,ACC257233,"Kolkata, West Bengal, 700001","
",4/8/2025,11:07,0
1382.73,NEFT,Electricity Board,ACC123456,ACC899870,"Kolkata, West Bengal, 700001","
",8/4/2024,17:13,0
1194.15,UPI,Local Kirana,ACC123456,ACC309461,"Kolkata, West Bengal, 700001","
",7/17/2024,12:41,0
891.94,Cash Deposit,HDFC Bank,ACC123456,ACC844055,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",9/20/2024,2:44,0
379.95,Cash Deposit,Flipkart,ACC123456,ACC568228,"Kolkata, West Bengal, 700001","
",10/3/2024,19:01,0
1656.04,UPI,Local Kirana,ACC123456,ACC675360,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",4/27/2023,8:31,0
1048.17,Card,Electricity Board,ACC123456,ACC134919,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",8/29/2023,16:55,0
2133.45,NEFT,School Fees,ACC123456,ACC169051,"Kolkata, West Bengal, 700001","
",12/28/2023,8:26,0
246.16,Cash Deposit,Flipkart,ACC123456,ACC674191,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",12/10/2023,5:54,0
1175.83,Card,LIC Insurance,ACC123456,ACC839954,"Kolkata, West Bengal, 700001","
",1/12/2025,13:18,0
508.67,UPI,SBI,ACC123456,ACC590667,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",8/2/2024,3:30,0
850.39,NEFT,Flipkart,ACC123456,ACC630549,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",6/3/2023,21:39,0
3064.4,UPI,Swiggy,ACC123456,ACC668505,"Delhi, Delhi, 110001","Chennai, Tamil Nadu, 600001",1/12/2025,17:52,0
16511.3,Wallet,Medical Store,ACC123456,ACC608415,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",7/30/2023,19:18,0
342.22,IMPS,SBI,ACC123456,ACC139674,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",11/5/2024,10:12,0
2339.81,Card,School Fees,ACC123456,ACC227611,"Kolkata, West Bengal, 700001","
",2/15/2025,6:44,0
863.25,Card,Swiggy,ACC123456,ACC758522,"Chennai, Tamil Nadu, 600001","Pune, Maharashtra, 411001",6/20/2023,18:07,0
